"","OfferID","CustomerID.x","CategoryID","CategoryName","CustomerID.y","value","event_timestamp","arrival_timestamp","OfferID.y","spended_time","interest"
"1",11822,71,100200,"Housekeeping","11","6",1452500734023,1452502865348,11822,127879500000,"NO"
"2",11822,71,100200,"Housekeeping","11","6",1452500734023,1452502865348,11822,127879500000,"NO"
"3",11822,71,100200,"Housekeeping","11","6",1452500734023,1452502865348,11822,127879500000,"NO"
"4",11822,11,100200,"Housekeeping","11","6",1452500734023,1452502865348,11822,127879500000,"NO"
"5",11822,71,100200,"Housekeeping","11","6",1452500734023,1452502865348,11822,127879500000,"NO"
"6",11822,11,100200,"Housekeeping","11","6",1452500734023,1452502865348,11822,127879500000,"NO"
"7",11822,11,100200,"Housekeeping","11","6",1452500734023,1452502865348,11822,127879500000,"NO"
"8",11822,71,100200,"Housekeeping","11","6",1452500734023,1452502865348,11822,127879500000,"NO"
"9",11822,11,100200,"Housekeeping","11","6",1452500734023,1452502865348,11822,127879500000,"NO"
"10",11822,71,100200,"Housekeeping","11","6",1452500734023,1452502865348,11822,127879500000,"NO"
"11",11822,71,100200,"Housekeeping","11","6",1452500734023,1452502865348,11822,127879500000,"NO"
"12",11822,71,100200,"Housekeeping","11","6",1452500734023,1452502865348,11822,127879500000,"NO"
"13",11822,71,100200,"Housekeeping","11","6",1452500734023,1452502865348,11822,127879500000,"NO"
"14",11822,71,100200,"Housekeeping","11","6",1452500734023,1452502865348,11822,127879500000,"NO"
"15",11822,71,100200,"Housekeeping","11","6",1452500734023,1452502865348,11822,127879500000,"NO"
"16",11822,11,100200,"Housekeeping","11","6",1452500734023,1452502865348,11822,127879500000,"NO"
"17",11822,71,100200,"Housekeeping","11","6",1452500734023,1452502865348,11822,127879500000,"NO"
"18",11822,71,100200,"Housekeeping","11","6",1452500734023,1452502865348,11822,127879500000,"NO"
"19",11822,71,100200,"Housekeeping","11","6",1452500734023,1452502865348,11822,127879500000,"NO"
"20",11822,11,100200,"Housekeeping","11","6",1452500734023,1452502865348,11822,127879500000,"NO"
"21",11822,71,100200,"Housekeeping","11","6",1452500734023,1452502865348,11822,127879500000,"NO"
"22",11822,71,100200,"Housekeeping","11","6",1452500734023,1452502865348,11822,127879500000,"NO"
"23",12599,313,80000,"Grocery","313","2",1453039010857,1453039084051,12599,4391640000,"NO"
"24",12599,313,80000,"Grocery","313","2",1453039010857,1453039084051,12599,4391640000,"NO"
"25",14409,310,120100,"Mobile Recharge","310","2",1452107686286,1452107624340,14409,-3716760000,"NO"
"26",14409,310,120000,"Online Recharge","310","2",1452107686286,1452107624340,14409,-3716760000,"NO"
"27",14409,313,120100,"Mobile Recharge","310","2",1452107686286,1452107624340,14409,-3716760000,"NO"
"28",14409,313,120000,"Online Recharge","310","2",1452107686286,1452107624340,14409,-3716760000,"NO"
"29",14409,313,120100,"Mobile Recharge","310","2",1452107686286,1452107624340,14409,-3716760000,"NO"
"30",14409,313,120000,"Online Recharge","310","2",1452107686286,1452107624340,14409,-3716760000,"NO"
"31",14409,313,120100,"Mobile Recharge","310","2",1452107686286,1452107624340,14409,-3716760000,"NO"
"32",14409,313,120000,"Online Recharge","310","2",1452107686286,1452107624340,14409,-3716760000,"NO"
"33",14409,310,120100,"Mobile Recharge","310","2",1452107686286,1452107624340,14409,-3716760000,"NO"
"34",14409,310,120000,"Online Recharge","310","2",1452107686286,1452107624340,14409,-3716760000,"NO"
"35",14409,313,120100,"Mobile Recharge","310","2",1452107686286,1452107624340,14409,-3716760000,"NO"
"36",14409,313,120000,"Online Recharge","310","2",1452107686286,1452107624340,14409,-3716760000,"NO"
"37",14414,56,120000,"Online Recharge","56","4",1451797101133,1452355239657,14414,33488311440000,"YES"
"38",14414,56,120200,"Data Card Recharge","56","4",1451797101133,1452355239657,14414,33488311440000,"YES"
"39",14414,56,120000,"Online Recharge","56","4",1451797101133,1452355239657,14414,33488311440000,"YES"
"40",14414,56,120200,"Data Card Recharge","56","4",1451797101133,1452355239657,14414,33488311440000,"YES"
"41",14414,56,120000,"Online Recharge","56","4",1451797101133,1452355239657,14414,33488311440000,"YES"
"42",14414,56,120200,"Data Card Recharge","56","4",1451797101133,1452355239657,14414,33488311440000,"YES"
"43",14414,56,120000,"Online Recharge","56","4",1451797101133,1452355239657,14414,33488311440000,"YES"
"44",14414,56,120200,"Data Card Recharge","56","4",1451797101133,1452355239657,14414,33488311440000,"YES"
"45",15033,245,50100,"Fast Food","245","4",1451743812353,1451891416354,15033,8856240060000,"YES"
"46",15033,245,50000,"Food and Beverages","245","4",1451743812353,1451891416354,15033,8856240060000,"YES"
"47",15033,245,50100,"Fast Food","245","4",1451743812353,1451891416354,15033,8856240060000,"YES"
"48",15033,245,50000,"Food and Beverages","245","4",1451743812353,1451891416354,15033,8856240060000,"YES"
"49",15033,245,50100,"Fast Food","245","4",1451743812353,1451891416354,15033,8856240060000,"YES"
"50",15033,245,50000,"Food and Beverages","245","4",1451743812353,1451891416354,15033,8856240060000,"YES"
"51",15033,245,50100,"Fast Food","245","4",1451743812353,1451891416354,15033,8856240060000,"YES"
"52",15033,245,50000,"Food and Beverages","245","4",1451743812353,1451891416354,15033,8856240060000,"YES"
"53",16008,289,10600,"Eyewear","289","6",1452233669547,1452233732833,16008,3797160000,"NO"
"54",16008,3,10600,"Eyewear","289","6",1452233669547,1452233732833,16008,3797160000,"NO"
"55",16008,289,10600,"Eyewear","289","6",1452233669547,1452233732833,16008,3797160000,"NO"
"56",16008,289,10600,"Eyewear","289","6",1452233669547,1452233732833,16008,3797160000,"NO"
"57",16008,289,10600,"Eyewear","289","6",1452233669547,1452233732833,16008,3797160000,"NO"
"58",16008,289,10600,"Eyewear","289","6",1452233669547,1452233732833,16008,3797160000,"NO"
"59",16008,289,10600,"Eyewear","289","6",1452233669547,1452233732833,16008,3797160000,"NO"
"60",16008,289,10600,"Eyewear","289","6",1452233669547,1452233732833,16008,3797160000,"NO"
"61",16008,289,10600,"Eyewear","289","6",1452233669547,1452233732833,16008,3797160000,"NO"
"62",16008,3,10600,"Eyewear","289","6",1452233669547,1452233732833,16008,3797160000,"NO"
"63",16008,3,10600,"Eyewear","289","6",1452233669547,1452233732833,16008,3797160000,"NO"
"64",16008,3,10600,"Eyewear","289","6",1452233669547,1452233732833,16008,3797160000,"NO"
"65",16078,319,10700,"Footwear","319","4",1452959752046,1452959754736,16078,161400000,"NO"
"66",16078,319,10700,"Footwear","319","4",1452959752046,1452959754736,16078,161400000,"NO"
"67",16078,319,10700,"Footwear","319","4",1452959752046,1452959754736,16078,161400000,"NO"
"68",16078,319,10700,"Footwear","319","4",1452959752046,1452959754736,16078,161400000,"NO"
